194383->Input:44.78, Output: 149.97, Motor power: 149
194383->Input:44.78, Output: 149.97, Motor power: 149
194387->Input:44.78, Output: 149.97, Motor power: 149
194392->Input:44.78, Output: 149.97, Motor power: 149
194397->Input:44.78, Output: 149.97, Motor power: 149
194402->Input:44.78, Output: 149.97, Motor power: 149
194407->Input:44.78, Output: 149.97, Motor power: 149
194411->Input:44.78, Output: 149.97, Motor power: 149
194416->Input:44.78, Output: 149.97, Motor power: 149
194421->Input:44.78, Output: 149.97, Motor power: 149
194426->Input:44.78, Output: 149.97, Motor power: 149
194430->Input:44.78, Output: 149.97, Motor power: 149
194435->Input:44.78, Output: 149.97, Motor power: 149
194440->Input:44.78, Output: 149.97, Motor power: 149
194445->Input:44.78, Output: 149.97, Motor power: 149
194450->Input:44.78, Output: 149.97, Motor power: 149
194454->Input:44.78, Output: 149.97, Motor power: 149
194459->Input:44.78, Output: 149.97, Motor power: 149
194464->Input:37.04, Output: 149.97, Motor power: 149
194469->Input:37.04, Output: 149.97, Motor power: 149
194473->Input:37.04, Output: 149.97, Motor power: 149
194478->Input:37.04, Output: 149.97, Motor power: 149
194483->Input:37.04, Output: 154.56, Motor power: 154
194488->Input:37.04, Output: 154.56, Motor power: 154
194493->Input:37.04, Output: 154.56, Motor power: 154
194497->Input:37.04, Output: 154.56, Motor power: 154
194502->Input:37.04, Output: 154.56, Motor power: 154
194507->Input:24.19, Output: 154.56, Motor power: 154
194512->Input:24.19, Output: 154.56, Motor power: 154
194516->Input:24.19, Output: 154.56, Motor power: 154
194521->Input:24.19, Output: 154.56, Motor power: 154
194526->Input:24.19, Output: 154.56, Motor power: 154
194531->Input:24.19, Output: 154.56, Motor power: 154
194535->Input:24.19, Output: 154.56, Motor power: 154
194540->Input:19.11, Output: 154.56, Motor power: 154
194545->Input:19.11, Output: 154.56, Motor power: 154
194550->Input:19.11, Output: 154.56, Motor power: 154
194555->Input:19.11, Output: 154.56, Motor power: 154
194559->Input:19.11, Output: 154.56, Motor power: 154
194564->Input:19.11, Output: 154.56, Motor power: 154
194569->Input:28.57, Output: 154.56, Motor power: 154
194574->Input:28.57, Output: 154.56, Motor power: 154
194578->Input:28.57, Output: 154.56, Motor power: 154
194583->Input:28.57, Output: 160.29, Motor power: 160
194588->Input:28.57, Output: 160.29, Motor power: 160
194593->Input:28.57, Output: 160.29, Motor power: 160
194598->Input:32.97, Output: 160.29, Motor power: 160
194602->Input:32.97, Output: 160.29, Motor power: 160
194607->Input:32.97, Output: 160.29, Motor power: 160
194612->Input:32.97, Output: 160.29, Motor power: 160
194617->Input:32.97, Output: 160.29, Motor power: 160
194621->Input:32.97, Output: 160.29, Motor power: 160
194626->Input:34.88, Output: 160.29, Motor power: 160
194631->Input:34.88, Output: 160.29, Motor power: 160
194636->Input:34.88, Output: 160.29, Motor power: 160
194641->Input:34.88, Output: 160.29, Motor power: 160
194645->Input:34.88, Output: 160.29, Motor power: 160
194650->Input:37.04, Output: 160.29, Motor power: 160
194655->Input:37.04, Output: 160.29, Motor power: 160
194660->Input:37.04, Output: 160.29, Motor power: 160
194664->Input:37.04, Output: 160.29, Motor power: 160
194669->Input:37.04, Output: 160.29, Motor power: 160
194674->Input:39.47, Output: 160.29, Motor power: 160
194679->Input:39.47, Output: 160.29, Motor power: 160
194683->Input:39.47, Output: 157.19, Motor power: 157
194688->Input:39.47, Output: 157.19, Motor power: 157
194693->Input:39.47, Output: 157.19, Motor power: 157
194698->Input:41.67, Output: 157.19, Motor power: 157
194703->Input:41.67, Output: 157.19, Motor power: 157
194707->Input:41.67, Output: 157.19, Motor power: 157
194712->Input:41.67, Output: 157.19, Motor power: 157
194717->Input:41.67, Output: 157.19, Motor power: 157
194722->Input:41.67, Output: 157.19, Motor power: 157
194726->Input:41.67, Output: 157.19, Motor power: 157
194731->Input:41.67, Output: 157.19, Motor power: 157
194736->Input:41.67, Output: 157.19, Motor power: 157
194741->Input:41.67, Output: 157.19, Motor power: 157
194746->Input:41.67, Output: 157.19, Motor power: 157
194750->Input:41.67, Output: 157.19, Motor power: 157
194755->Input:41.67, Output: 157.19, Motor power: 157
194760->Input:41.67, Output: 157.19, Motor power: 157
194765->Input:41.67, Output: 157.19, Motor power: 157
194769->Input:42.25, Output: 157.19, Motor power: 157
194774->Input:42.25, Output: 157.19, Motor power: 157
194779->Input:42.25, Output: 157.19, Motor power: 157
194784->Input:42.25, Output: 157.05, Motor power: 157
194789->Input:42.25, Output: 157.05, Motor power: 157
194793->Input:42.25, Output: 157.05, Motor power: 157
194798->Input:42.25, Output: 157.05, Motor power: 157
